claim_id,Month,Make,Fault,PoliceReportFiled,WitnessPresent,Risk_Score,Risk_Level
1,Dec,Honda,Policy Holder,No,No,0.1145671147356622,Low
2,Jan,Honda,Policy Holder,Yes,No,0.775354791774276,High
3,Oct,Honda,Policy Holder,No,No,0.7519311193662677,High
4,Jun,Toyota,Third Party,Yes,No,0.0029980797447944764,Low
5,Jan,Honda,Third Party,No,No,0.12210223459724663,Low
6,Oct,Honda,Third Party,No,No,0.14375465663535647,Low
7,Feb,Honda,Third Party,No,No,0.1217939497740642,Low
8,Nov,Honda,Policy Holder,No,No,0.7876540305005434,High
9,Dec,Honda,Policy Holder,No,Yes,0.7427852197327771,High
10,Apr,Ford,Policy Holder,No,No,0.7240871696628467,High
11,Mar,Mazda,Policy Holder,No,No,0.8067513619703693,High
12,Mar,Honda,Policy Holder,No,No,0.09340808462324796,Low
13,Jan,Ford,Policy Holder,No,No,0.1932318140983913,Low
14,Jan,Honda,Third Party,No,No,0.06063557465106206,Low
15,Jan,Ford,Policy Holder,No,No,0.0965222714460504,Low
16,Aug,Ford,Policy Holder,No,No,0.1750488739835519,Low
17,Apr,Ford,Policy Holder,No,No,0.856426595378547,High
18,Jul,Chevrolet,Third Party,No,No,0.04565405034405685,Low
19,May,Pontiac,Policy Holder,No,No,0.11653157958261874,Low
20,Apr,Honda,Third Party,No,No,0.00530761696775053,Low
21,Apr,Mazda,Policy Holder,No,No,0.11792890015848848,Low
22,Jan,Chevrolet,Policy Holder,No,No,0.48873135295275083,Medium
23,Aug,Mazda,Policy Holder,No,No,0.09241187356596225,Low
24,Jun,Pontiac,Third Party,No,No,0.003877369577751394,Low
25,Sep,Mazda,Policy Holder,Yes,No,0.7312008113958055,High
26,Mar,Pontiac,Policy Holder,No,No,0.10780039911790802,Low
27,Mar,Honda,Policy Holder,No,No,0.6965181351545705,High
28,May,Accura,Policy Holder,No,No,0.894293793207775,High
29,Jul,Honda,Policy Holder,No,No,0.7245811673957904,High
30,May,Mazda,Policy Holder,No,No,0.6441669286868134,High
31,Mar,Dodge,Policy Holder,No,No,0.2751648542285071,Low
32,Mar,Honda,Policy Holder,No,No,0.7852824932815385,High
33,Mar,Chevrolet,Policy Holder,No,No,0.5801159031631712,Medium
34,Jan,Honda,Third Party,No,No,0.039851323946652424,Low
35,Jan,Ford,Policy Holder,No,No,0.7733645800183373,High
36,Oct,Chevrolet,Third Party,No,No,0.0022559977629719717,Low
37,Oct,Honda,Third Party,No,No,0.02928249992123275,Low
38,Sep,Mazda,Policy Holder,No,No,0.6419832396565304,High
39,Nov,Honda,Policy Holder,No,No,0.5846129319482414,Medium
40,Nov,Toyota,Policy Holder,No,No,0.4601065169583886,Medium
41,Mar,Chevrolet,Policy Holder,No,No,0.6427425127200583,High
42,Mar,Pontiac,Policy Holder,No,No,0.7928385287866685,High
43,Jul,Toyota,Policy Holder,No,No,0.09973143457780398,Low
44,Jan,Honda,Policy Holder,No,No,0.5427846619256043,Medium
45,Jan,Toyota,Third Party,No,No,0.0421199427539513,Low
46,Feb,Pontiac,Third Party,No,No,0.06994170857716281,Low
47,Feb,Pontiac,Third Party,No,No,0.01147807202885694,Low
48,Nov,Mazda,Policy Holder,No,No,0.08461507608866435,Low
49,Apr,Chevrolet,Policy Holder,No,No,0.1457125769424369,Low
50,Apr,Pontiac,Policy Holder,No,No,0.4630479944992824,Medium
51,May,Pontiac,Policy Holder,No,No,0.1504744905104103,Low
52,Jun,Pontiac,Policy Holder,No,No,0.8521167514534937,High
53,Jul,Honda,Policy Holder,No,No,0.8056667440409178,High
54,Jul,Honda,Policy Holder,No,No,0.46242755987135514,Medium
55,Jun,Pontiac,Policy Holder,No,No,0.6379074790064809,High
56,Dec,Mazda,Third Party,No,No,0.03637031730501945,Low
57,Jun,Honda,Policy Holder,No,No,0.7411410746262059,High
58,Nov,Accura,Policy Holder,No,No,0.5399344898533812,Medium
59,May,Honda,Policy Holder,No,No,0.23009922412296346,Low
60,May,Chevrolet,Policy Holder,No,No,0.60292319702112,High
61,Nov,Toyota,Policy Holder,No,No,0.7127476767590345,High
62,Sep,Pontiac,Policy Holder,No,No,0.5319338737071274,Medium
63,Nov,Honda,Third Party,No,No,0.07606501679071144,Low
64,Feb,Toyota,Policy Holder,No,No,0.11062311345045474,Low
65,Dec,Pontiac,Policy Holder,No,No,0.5125519986173189,Medium
66,Dec,Mazda,Policy Holder,No,No,0.5982685722703837,Medium
67,Mar,Mercury,Third Party,No,No,0.09213638774953826,Low
68,Aug,Mazda,Policy Holder,No,No,0.0813092623343472,Low
69,Jan,Toyota,Policy Holder,No,No,0.6076950944070646,High
70,Jan,Honda,Policy Holder,No,No,0.08467283167255397,Low
71,Jan,Honda,Policy Holder,No,No,0.5810168424479526,Medium
72,Jan,Mazda,Policy Holder,No,No,0.5918171579529573,Medium
73,Sep,Chevrolet,Third Party,No,No,0.018799802460121588,Low
74,Jan,Honda,Third Party,No,No,0.026489447321247535,Low
75,Apr,Mazda,Third Party,No,No,0.03687951068297045,Low
76,Aug,Ford,Third Party,No,No,0.08928850008317556,Low
77,Oct,Chevrolet,Third Party,No,No,0.0654710711713116,Low
78,Feb,Honda,Third Party,No,No,0.08421100470341963,Low
79,Feb,Jaguar,Policy Holder,No,No,0.17364256337126183,Low
80,Feb,Toyota,Third Party,No,No,0.05756001061038101,Low
81,Jan,Pontiac,Policy Holder,No,No,0.12162657453934751,Low
82,Jan,Mazda,Third Party,No,No,0.0034261379282112038,Low
83,Dec,Chevrolet,Third Party,No,No,0.1014983500932008,Low
